url1,url2,similarity
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,0.845
https://www.phriendlyphishing.com/blog,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.847
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Search_engine_optimization,0.832
https://en.wikipedia.org/wiki/SD-WAN,https://en.wikipedia.org/wiki/Content_marketing,0.865
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.807
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.854
https://en.wikipedia.org/wiki/Search_engine_optimization,https://en.wikipedia.org/wiki/Content_marketing,0.849
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Content_marketing,0.841
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Machine_learning,0.842
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.85
https://simple.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Digital_marketing,0.806
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.865
https://en.wikipedia.org/wiki/Content_marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.916
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.805
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.944
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.845
https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Artificial_intelligence,0.828
https://simple.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.913
https://en.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.825
https://en.wikipedia.org/wiki/Digital_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.853
